id,active,name,type_id/id,addition,phrase,notes
phrase.phrase_EUH001,1,EUH001,phrase.product_phrase_type_EUH,0,In droge toestand ontplofbaar.,
phrase.phrase_EUH006,1,EUH006,phrase.product_phrase_type_EUH,0,Ontplofbaar met en zonder lucht.,
phrase.phrase_EUH014,1,EUH014,phrase.product_phrase_type_EUH,0,Reageert heftig met water.,
phrase.phrase_EUH018,1,EUH018,phrase.product_phrase_type_EUH,0,Kan bij gebruik een ontvlambaar/ontplofbaar damp-luchtmengsel vormen.,
phrase.phrase_EUH019,1,EUH019,phrase.product_phrase_type_EUH,0,Kan ontplofbare peroxiden vormen.,
phrase.phrase_EUH029,1,EUH029,phrase.product_phrase_type_EUH,0,Vormt giftig gas in contact met water.,
phrase.phrase_EUH031,1,EUH031,phrase.product_phrase_type_EUH,0,Vormt giftig gas in contact met zuren.,
phrase.phrase_EUH032,1,EUH032,phrase.product_phrase_type_EUH,0,Vormt zeer giftig gas in contact met zuren.,
phrase.phrase_EUH044,1,EUH044,phrase.product_phrase_type_EUH,0,Ontploffingsgevaar bij verwarming in afgesloten toestand.,
phrase.phrase_EUH059,1,EUH059,phrase.product_phrase_type_EUH,0,Gevaarlijk voor de ozonlaag.,
phrase.phrase_EUH066,1,EUH066,phrase.product_phrase_type_EUH,0,Herhaalde blootstelling kan een droge of een gebarsten huid veroorzaken.,
phrase.phrase_EUH070,1,EUH070,phrase.product_phrase_type_EUH,0,Giftig bij oogcontac.,
phrase.phrase_EUH071,1,EUH071,phrase.product_phrase_type_EUH,0,Bijtend voor de luchtwegen.,
phrase.phrase_EUH201/201A,1,EUH201/201A,phrase.product_phrase_type_EUH,0,Bevat lood. Mag niet worden gebruikt voor voorwerpen waarin kinderen kunnen bijten of waaraan kinderen kunnen zuigen. Let op! Bevat lood.
phrase.phrase_EUH203,1,EUH203,phrase.product_phrase_type_EUH,0,Bevat zeswaardig chroom. Kan een allergische reactie veroorzaken,
phrase.phrase_EUH204,1,EUH204,phrase.product_phrase_type_EUH,0,Bevat isocyanaten. Kan een allergische reactie veroorzaken.,
phrase.phrase_EUH205,1,EUH205,phrase.product_phrase_type_EUH,0,Bevat epoxyverbindingen. Kan een allergische reactie veroorzaken,
phrase.phrase_EUH206,1,EUH206,phrase.product_phrase_type_EUH,0,Let op! Niet in combinatie met andere producten gebruiken. Er kunnen gevaarlijke gassen (chloor) vrijkomen.,
phrase.phrase_EUH207,1,EUH207,phrase.product_phrase_type_EUH,0,Let op! Bevat cadmium. Bij het gebruik ontwikkelen zich gevaarlijke dampen. Zie de aanwijzingen van de fabrikant. Neem de veiligheidsvoorschriften in acht.,
phrase.phrase_EUH208,1,EUH208,phrase.product_phrase_type_EUH,0,Bevat ... Kan een allergische reactie veroorzaken,
phrase.phrase_EUH209/209A,1,EUH209/209A,phrase.product_phrase_type_EUH,0,Kan bij gebruik licht ontvlambaar worden. Kan bij gebruik ontvlambaar worden.,
phrase.phrase_EUH210,1,EUH210,phrase.product_phrase_type_EUH,0,Veiligheidsinformatieblad op verzoek verkrijgbaar.,
phrase.phrase_EUH401,1,EUH401,phrase.product_phrase_type_EUH,0,Volg de gebruiksaanwijzing om gevaar voor de menselijke gezondheid en het milieu te voorkomen.,
phrase.phrase_H200,1,H200,phrase.product_phrase_type_H,0,Instabiele ontplofbare stof.,
phrase.phrase_H201,1,H201,phrase.product_phrase_type_H,0,Ontplofbare stof; gevaar voor massa-explosie.,
phrase.phrase_H202,1,H202,phrase.product_phrase_type_H,0,Ontplofbare stof, ernstig gevaar voor scherfwerking.,
phrase.phrase_H203,1,H203,phrase.product_phrase_type_H,0,Ontplofbare stof; gevaar voor brand, luchtdrukwerking of scherfwerking.,
phrase.phrase_H204,1,H204,phrase.product_phrase_type_H,0,Gevaar voor brand of scherfwerking.,
phrase.phrase_H205,1,H205,phrase.product_phrase_type_H,0,Gevaar voor massa-explosie bij brand.,
phrase.phrase_H220,1,H220,phrase.product_phrase_type_H,0,Zeer licht ontvlambaar gas.,
phrase.phrase_H221,1,H221,phrase.product_phrase_type_H,0,Ontvlambaar gas. ,
phrase.phrase_H222,1,H222,phrase.product_phrase_type_H,0,Zeer licht ontvlambare aerosol.,
phrase.phrase_H223,1,H223,phrase.product_phrase_type_H,0,Ontvlambare aerosol.,
phrase.phrase_H224,1,H224,phrase.product_phrase_type_H,0,Zeer licht ontvlambare vloeistof en damp,
phrase.phrase_H225,1,H225,phrase.product_phrase_type_H,0,Licht ontvlambare vloeistof en damp.,
phrase.phrase_H226,1,H226,phrase.product_phrase_type_H,0,Ontvlambare vloeistof en damp.,
phrase.phrase_H228,1,H228,phrase.product_phrase_type_H,0,Ontvlambare vaste stof.,
phrase.phrase_H240,1,H240,phrase.product_phrase_type_H,0,Ontploffingsgevaar bij verwarming.,
phrase.phrase_H241,1,H241,phrase.product_phrase_type_H,0,Brand- of ontploffingsgevaar bij verwarming.,
phrase.phrase_H242,1,H242,phrase.product_phrase_type_H,0,Brandgevaar bij verwarming.,
phrase.phrase_H250,1,H250,phrase.product_phrase_type_H,0,Vat spontaan vlam bij blootstelling aan lucht.,
phrase.phrase_H251,1,H251,phrase.product_phrase_type_H,0,Vatbaar voor zelfverhitting: kan vlam vatten.,
phrase.phrase_H252,1,H252,phrase.product_phrase_type_H,0,In grote hoeveelheden vatbaar voor zelfverhitting; kan vlam vatten.,
phrase.phrase_H260,1,H260,phrase.product_phrase_type_H,0,In contact met water komen ontvlambare gassen vrij die spontaan kunnen ontbranden.,
phrase.phrase_H261,1,H261,phrase.product_phrase_type_H,0,In contact met water komen ontvlambare gassen vrij.,
phrase.phrase_H270,1,H270,phrase.product_phrase_type_H,0,Kan brand veroorzaken of bevorderen; oxiderend.,
phrase.phrase_H271,1,H271,phrase.product_phrase_type_H,0,Kan brand of ontploffingen veroorzaken; sterk oxiderend.,
phrase.phrase_H272,1,H272,phrase.product_phrase_type_H,0,Kan brand bevorderen; oxiderend.,
phrase.phrase_H280,1,H280,phrase.product_phrase_type_H,0,Bevat gas onder druk; kan ontploffen bij verwarming.,
phrase.phrase_H281,1,H281,phrase.product_phrase_type_H,0,Bevat sterk gekoeld gas; kan cryogene brandwonden of letsel veroorzaken.,
phrase.phrase_H290,1,H290,phrase.product_phrase_type_H,0,Kan bijtend zijn voor metalen.,
phrase.phrase_H300,1,H300,phrase.product_phrase_type_H,0,Dodelijk bij inslikken.,
phrase.phrase_H300/310/330,1,H300/310/330,phrase.product_phrase_type_H,0,Dodelijk bij inslikken, bij contact met de huid en bij inademing,
phrase.phrase_H300/330,1,H300/330,phrase.product_phrase_type_H,0,Dodelijk bij inslikken en bij inademing.,
phrase.phrase_H301 + H311,1,H301 + H311,phrase.product_phrase_type_H,0,Giftig bij inslikken en bij contact met de huid,
phrase.phrase_H301,1,H301,phrase.product_phrase_type_H,0,Giftig bij inslikken.,
phrase.phrase_H301/311/331,1,H301/311/331,phrase.product_phrase_type_H,0,Giftig bij inslikken, bij contact met de huid en bij inademing.,
phrase.phrase_H302,1,H302,phrase.product_phrase_type_H,0,Schadelijk bij inslikken.,
phrase.phrase_H302/312,1,H302/312,phrase.product_phrase_type_H,0,Schadelijk bij inslikken en bij contact met de huid,
phrase.phrase_H302/312/332,1,H302/312/332,phrase.product_phrase_type_H,0,Schadelijk bij inslikken, bij contact met de huid en bij inademing.,
phrase.phrase_H302/332,1,H302/332,phrase.product_phrase_type_H,0,Schadelijk bij inslikken of inademen.,
phrase.phrase_H304,1,H304,phrase.product_phrase_type_H,0,Kan dodelijk zijn als de stof bij inslikken in de luchtwegen terechtkomt.,
phrase.phrase_H310 + H330,1,H310 + H330,phrase.product_phrase_type_H,0,Dodelijk bij contact met de huid en bij inademing,
phrase.phrase_H310,1,H310,phrase.product_phrase_type_H,0,Dodelijk bij contact met de huid.,
phrase.phrase_H311,1,H311,phrase.product_phrase_type_H,0,Giftig bij contact met de huid.,
phrase.phrase_H311/H331,1,H311/H331,phrase.product_phrase_type_H,0,Giftig bij contact met de huid en bij inademing,
phrase.phrase_H312,1,H312,phrase.product_phrase_type_H,0,Schadelijk bij contact met de huid.,
phrase.phrase_H312/H332,1,H312/H332,phrase.product_phrase_type_H,0,Schadelijk bij contact met de huid en bij inademing,
phrase.phrase_H314,1,H314,phrase.product_phrase_type_H,0,Veroorzaakt ernstige brandwonden en oogletsel.,
phrase.phrase_H315,1,H315,phrase.product_phrase_type_H,0,Veroorzaakt huidirritatie.,
phrase.phrase_H317,1,H317,phrase.product_phrase_type_H,0,Kan een allergische huidreactie veroorzaken.,
phrase.phrase_H318,1,H318,phrase.product_phrase_type_H,0,Veroorzaakt ernstig oogletsel.,
phrase.phrase_H319,1,H319,phrase.product_phrase_type_H,0,Veroorzaakt ernstige oogirritatie.,
phrase.phrase_H330,1,H330,phrase.product_phrase_type_H,0,Dodelijk bij inademing.,
phrase.phrase_H331,1,H331,phrase.product_phrase_type_H,0,Giftig bij inademing.,
phrase.phrase_H332,1,H332,phrase.product_phrase_type_H,0,Schadelijk bij inademing.,
phrase.phrase_H334,1,H334,phrase.product_phrase_type_H,0,Kan bij inademing allergie- of astmasymptomen of ademhalingsmoeilijkheden veroorzaken.,
phrase.phrase_H335,1,H335,phrase.product_phrase_type_H,0,Kan irritatie van de luchtwegen veroorzaken.,
phrase.phrase_H335/336,1,H335/336,phrase.product_phrase_type_H,0,Kan ademhalingsirritatie, slaperigheid of duizeligheid veroorzaken.,
phrase.phrase_H336,1,H336,phrase.product_phrase_type_H,0,Kan slaperigheid of duizeligheid veroorzaken.,
phrase.phrase_H340,1,H340,phrase.product_phrase_type_H,0,Kan genetische schade veroorzaken...,
phrase.phrase_H341,1,H341,phrase.product_phrase_type_H,0,Verdacht van het veroorzaken van genetische schade ...,
phrase.phrase_H350,1,H350,phrase.product_phrase_type_H,0,Kan kanker veroorzaken...,
phrase.phrase_H351,1,H351,phrase.product_phrase_type_H,0,Verdacht van het veroorzaken van kanker...,
phrase.phrase_H360,1,H360,phrase.product_phrase_type_H,0,Kan de vruchtbaarheid of het ongeboren kind schaden...,
phrase.phrase_H361,1,H361,phrase.product_phrase_type_H,0,Kan mogelijks de vruchtbaarheid of het ongeboren kind schaden ,
phrase.phrase_H361d,1,H361d,phrase.product_phrase_type_H,0,Wordt ervan verdacht het ongeboren kind te schaden,
phrase.phrase_H361f,1,H361f,phrase.product_phrase_type_H,0,Wordt ervan verdacht de vruchtbaarheid te schaden,
phrase.phrase_H362,1,H362,phrase.product_phrase_type_H,0,Kan schadelijk zijn via borstvoeding.,
phrase.phrase_H370,1,H370,phrase.product_phrase_type_H,0,Veroorzaakt schade aan organen...,
phrase.phrase_H371,1,H371,phrase.product_phrase_type_H,0,Kan schade aan organen veroorzaken ...,
phrase.phrase_H372,1,H372,phrase.product_phrase_type_H,0,Veroorzaakt schade aan organen...,
phrase.phrase_H373,1,H373,phrase.product_phrase_type_H,0,Kan schade aan organen veroorzaken...,
phrase.phrase_H400,1,H400,phrase.product_phrase_type_H,0,Zeer giftig voor in het water levende organismen.,
phrase.phrase_H410,1,H410,phrase.product_phrase_type_H,0,Zeer giftig voor in het water levende organismen, met langdurige gevolgen.,
phrase.phrase_H411,1,H411,phrase.product_phrase_type_H,0,Giftig voor in het water levende organismen, met langdurige gevolgen.,
phrase.phrase_H412,1,H412,phrase.product_phrase_type_H,0,Schadelijk voor in het water levende organismen, met langdurige gevolgen.,
phrase.phrase_H413,1,H413,phrase.product_phrase_type_H,0,Kan langdurige schadelijke gevolgen voor in het water levende organismen hebben.,
phrase.phrase_K1,1,K1,phrase.product_phrase_type_X,0,Kankerverwekkend,Registreren
phrase.phrase_P101,1,P101,phrase.product_phrase_type_P,0,Bij het inwinnen van medisch advies, de verpakking of het etiket ter beschikking houden.,
phrase.phrase_P102,1,P102,phrase.product_phrase_type_P,0,Buiten het bereik van kinderen houden.,
phrase.phrase_P103,1,P103,phrase.product_phrase_type_P,0,Alvorens te gebruiken, het etiket lezen.,
phrase.phrase_P201,1,P201,phrase.product_phrase_type_P,0,Alvorens te gebruiken de speciale aanwijzingen raadplegen.,
phrase.phrase_P202,1,P202,phrase.product_phrase_type_P,0,Pas gebruiken nadat u alle veiligheidsvoorschriften gelezen en begrepen heeft,
phrase.phrase_P210,1,P210,phrase.product_phrase_type_P,0,Verwijderd houden van warmte/vonken/open vuur/hete oppervlakken. — Niet roken.,
phrase.phrase_P211,1,P211,phrase.product_phrase_type_P,0,Niet in een open vuur of op andere ontstekingsbronnen spuiten.,
phrase.phrase_P220,1,P220,phrase.product_phrase_type_P,0,Van kleding/…/brandbare stoffen verwijderd houden/bewaren.,
phrase.phrase_P221,1,P221,phrase.product_phrase_type_P,0,Vermenging met brandbare stoffen… absoluut vermijden.,
phrase.phrase_P222,1,P222,phrase.product_phrase_type_P,0,Contact met de lucht vermijden.,
phrase.phrase_P223,1,P223,phrase.product_phrase_type_P,0,Contact met water vermijden in verband met een heftige reactie en een mogelijke wolkbrand.,
phrase.phrase_P230,1,P230,phrase.product_phrase_type_P,0,Vochtig houden met…,
phrase.phrase_P231,1,P231,phrase.product_phrase_type_P,0,Onder inert gas werken.,
phrase.phrase_P231/232,1,P231/232,phrase.product_phrase_type_P,0,Onder inert gas werken. Tegen vocht beschermen.,
phrase.phrase_P232,1,P232,phrase.product_phrase_type_P,0,Tegen vocht beschermen.,
phrase.phrase_P233,1,P233,phrase.product_phrase_type_P,0,In goed gesloten verpakking bewaren.,
phrase.phrase_P234,1,P234,phrase.product_phrase_type_P,0,Uitsluitend in de oorspronkelijke verpakking bewaren.,
phrase.phrase_P235,1,P235,phrase.product_phrase_type_P,0,Koel bewaren.,
phrase.phrase_P235/410,1,P235/410,phrase.product_phrase_type_P,0,Koel bewaren. Tegen zonlicht beschermen.,
phrase.phrase_P240,1,P240,phrase.product_phrase_type_P,0,Opslag- en opvangreservoir aarden.,
phrase.phrase_P241,1,P241,phrase.product_phrase_type_P,0,Explosieveilige elektrische/ventilatie-/verlichtings-/…apparatuur gebruiken.,
phrase.phrase_P242,1,P242,phrase.product_phrase_type_P,0,Uitsluitend vonkvrij gereedschap gebruiken.,
phrase.phrase_P243,1,P243,phrase.product_phrase_type_P,0,Voorzorgsmaatregelen treffen tegen ontladingen van statische elektriciteit.,
phrase.phrase_P244,1,P244,phrase.product_phrase_type_P,0,Reduceerventielen vrij van olie en vet houden,
phrase.phrase_P250,1,P250,phrase.product_phrase_type_P,0,Malen/schokken/…/wrijving vermijden.,
phrase.phrase_P251,1,P251,phrase.product_phrase_type_P,0,Houder onder druk: ook na gebruik niet doorboren of verbranden.,
phrase.phrase_P260,1,P260,phrase.product_phrase_type_P,0,Stof/rook/gas/nevel/damp/spuitnevel niet inademen.,
phrase.phrase_P261,1,P261,phrase.product_phrase_type_P,0,Inademing van stof/rook/gas/nevel/damp/spuitnevel vermijden.,
phrase.phrase_P262,1,P262,phrase.product_phrase_type_P,0,Contact met de ogen, de huid of de kleding vermijden.,
phrase.phrase_P263,1,P263,phrase.product_phrase_type_P,0,Bij zwangerschap of borstvoeding aanraking vermijden.,
phrase.phrase_P264,1,P264,phrase.product_phrase_type_P,0,Na het werken met dit product … grondig wassen.,
phrase.phrase_P270,1,P270,phrase.product_phrase_type_P,0,Niet eten, drinken of roken tijdens het gebruik van dit product.,
phrase.phrase_P271,1,P271,phrase.product_phrase_type_P,0,Alleen buiten of in een goed geventileerde ruimte gebruiken.,
phrase.phrase_P272,1,P272,phrase.product_phrase_type_P,0,Verontreinigde werkkleding mag de werkruimte niet verlaten.,
phrase.phrase_P273,1,P273,phrase.product_phrase_type_P,0,Voorkom lozing in het milieu.,
phrase.phrase_P280,1,P280,phrase.product_phrase_type_P,0,Beschermende handschoenen/beschermende kleding/oogbescherming/gelaatsbescherming dragen.,
phrase.phrase_P281,1,P281,phrase.product_phrase_type_P,0,De nodige persoonlijke beschermingsuitrusting gebruiken.,
phrase.phrase_P282,1,P282,phrase.product_phrase_type_P,0,Koude-isolerende handschoenen/gelaatsbescherming/oogbescherming dragen.,
phrase.phrase_P283,1,P283,phrase.product_phrase_type_P,0,Vuur/vlambestendige/brandwerende kleding dragen.,
phrase.phrase_P284,1,P284,phrase.product_phrase_type_P,0,Adembescherming dragen.,
phrase.phrase_P285,1,P285,phrase.product_phrase_type_P,0,Bij ontoereikende ventilatie een geschikte adembescherming dragen.,
phrase.phrase_P301,1,P301,phrase.product_phrase_type_P,0,NA INSLIKKEN: ...,
phrase.phrase_P301/310,1,P301/310,phrase.product_phrase_type_P,0,NA INSLIKKEN: onmiddellijk een ANTIGIFCENTRUM of een arts raadplegen.,
phrase.phrase_P301/312,1,P301/312,phrase.product_phrase_type_P,0,NA INSLIKKEN: bij onwel voelen een ANTIGIFCENTRUM of een arts raadplegen.,
phrase.phrase_P301/330/331,1,P301/330/331,phrase.product_phrase_type_P,0,NA INSLIKKEN: de mond spoelen — GEEN braken opwekken.,
phrase.phrase_P302,1,P302,phrase.product_phrase_type_P,0,BIJ CONTACT MET DE HUID: ...,
phrase.phrase_P302/334,1,P302/334,phrase.product_phrase_type_P,0,BIJ CONTACT MET DE HUID: in koud water onderdompelen/nat verband aanbrengen,
phrase.phrase_P302/350,1,P302/350,phrase.product_phrase_type_P,0,BIJ CONTACT MET DE HUID: voorzichtig wassen met veel water en zeep.,
phrase.phrase_P302/352,1,P302/352,phrase.product_phrase_type_P,0,BIJ CONTACT MET DE HUID: met veel water en zeep wassen.,
phrase.phrase_P303,1,P303,phrase.product_phrase_type_P,0,BIJ CONTACT MET DE HUID (of het haar):...,
phrase.phrase_P303/361/353,1,P303/361/353,phrase.product_phrase_type_P,0,BIJ CONTACT MET DE HUID (of het haar): verontreinigde kleding onmiddellijk uittrekken - huid met water afspoelen/afdouchen.,
phrase.phrase_P304,1,P304,phrase.product_phrase_type_P,0,NA INADEMING: ...,
phrase.phrase_P304/340,1,P304/340,phrase.product_phrase_type_P,0,NA INADEMING: het slachtoffer in de frisse lucht brengen en laten rusten in een houding die het ademen vergemakkelijkt.,
